,Acidobacteriota,Actinomycetota,Aquificota,Armatimonadota,Atribacterota,Bacillota,Bacteroidota,Bdellovibrionota,Caldisericota,Campylobacterota,Candidatus.Absconditabacteria,Candidatus.Adlerbacteria,Candidatus.Amesbacteria,Candidatus.Aminicenantes,Candidatus.Azambacteria,Candidatus.Bathyarchaeota,Candidatus.Beckwithbacteria,Candidatus.Berkelbacteria,Candidatus.Blackallbacteria,Candidatus.Buchananbacteria,Candidatus.Collierbacteria,Candidatus.Colwellbacteria,Candidatus.Curtissbacteria,Candidatus.Daviesbacteria,Candidatus.Diapherotrites,Candidatus.Doudnabacteria,Candidatus.Eisenbacteria,Candidatus.Falkowbacteria,Candidatus.Firestonebacteria,Candidatus.Fischerbacteria,Candidatus.Glassbacteria,Candidatus.Gottesmanbacteria,Candidatus.Gracilibacteria,Candidatus.Handelsmanbacteria,Candidatus.Heimdallarchaeota,Candidatus.Kaiserbacteria,Candidatus.Kerfeldbacteria,Candidatus.Komeilibacteria,Candidatus.Levybacteria,Candidatus.Lindowbacteria,Candidatus.Liptonbacteria,Candidatus.Magasanikbacteria,Candidatus.Melainabacteria,Candidatus.Micrarchaeota,Candidatus.Moranbacteria,Candidatus.Nealsonbacteria,Candidatus.Nomurabacteria,Candidatus.Omnitrophica,Candidatus.Peregrinibacteria,Candidatus.Portnoybacteria,Candidatus.Ratteibacteria,Candidatus.Roizmanbacteria,Candidatus.Rokubacteria,Candidatus.Ryanbacteria,Candidatus.Saccharibacteria,Candidatus.Schekmanbacteria,Candidatus.Staskawiczbacteria,Candidatus.Tectomicrobia,Candidatus.Terrybacteria,Candidatus.Thermoplasmatota,Candidatus.Uhrbacteria,Candidatus.Wallbacteria,Candidatus.Wildermuthbacteria,Candidatus.Woesebacteria,Candidatus.Wolfebacteria,Candidatus.Yanofskybacteria,Candidatus.Yonathbacteria,Candidatus.Zambryskibacteria,Chlamydiota,Chlorobiota,Chloroflexota,Cyanobacteriota,Deferribacterota,Deinococcota,Elusimicrobiota,Euryarchaeota,Fibrobacterota,Fusobacteriota,Gemmatimonadota,Ignavibacteriota,Kiritimatiellota,Lentisphaerota,Mycoplasmatota,Myxococcota,Nitrososphaerota,Nitrospinota,Nitrospirota,Planctomycetota,Pseudomonadota,Spirochaetota,Synergistota,Thermodesulfobacteriota,Thermomicrobiota,Thermoproteota,Thermotogota,Verrucomicrobiota,candidate.division.NC10,candidate.division.WWE3,candidate.division.Zixibacteria
Candidatus.Melainabacteria,-0.0027,-0.002,-0.0004,0.0014,-0.0036,-0.0021,-0.0003,0.0011,0.001,-0.0011,-0.0044,0.0023,-0.0006,-0.0036,-0.0042,-0.0009,-0.0001,-0.0024,-0.0013,-0.0033,-0.0025,-0.0068,0.0033,-0.0008,-0.0002,0.0036,0.001,-0.0035,0.0024,-0.0002,-0.001,-0.0005,-0.005,-0.0015,0.0003,0.0016,-0.0011,-0.0073,-0.0004,-0.0008,-0.0032,0.0018,1.0,-0.0001,-0.0011,-0.0003,-0.0038,-0.0,-0.001,-0.0024,0.0014,0.0031,-0.0019,0.0009,0.0001,-0.0034,-0.0004,-0.0022,-0.0002,0.0007,0.0015,0.0006,-0.0009,-0.0022,0.0036,0.0032,-0.0017,-0.0031,-0.0038,-0.0012,-0.0063,-0.0048,0.0003,0.0001,-0.0023,-0.0015,0.0007,-0.0025,-0.0055,-0.0004,0.0009,-0.0052,-0.002,0.0014,0.002,0.0003,-0.0043,-0.0043,-0.0006,0.0021,-0.0021,-0.0022,-0.0008,0.0018,-0.0057,0.0026,0.0046,0.0002,-0.0039
Candidatus.Micrarchaeota,-0.0065,-0.0016,-0.0006,0.0044,-0.002,-0.0019,-0.0017,0.0007,0.0061,-0.0024,0.0,-0.0014,-0.001,-0.0044,-0.003,-0.0013,-0.0016,0.0001,0.0011,-0.0004,-0.0028,-0.005,-0.003,-0.0004,-0.0014,0.0017,0.001,-0.0017,-0.0012,-0.0015,-0.0014,-0.0011,-0.0079,0.0009,-0.0013,-0.0029,-0.004,0.0004,0.0022,-0.002,-0.0042,-0.0019,-0.0001,1.0,-0.0015,-0.0013,-0.0037,0.0029,0.0015,-0.0028,-0.0026,0.0021,-0.0084,0.0001,0.0012,-0.0056,0.0001,-0.0037,-0.0025,0.0025,0.0005,-0.0027,-0.0001,0.0027,-0.0012,-0.0015,0.0002,-0.0014,0.0001,0.0012,-0.0028,-0.0027,-0.0066,0.0002,-0.0003,-0.0037,0.0028,-0.0054,0.0009,-0.007,-0.0019,-0.0073,0.0035,-0.0068,-0.0003,-0.0022,0.0012,-0.0019,0.0021,-0.0019,-0.0034,-0.0005,-0.0043,0.0013,0.0,-0.0066,0.0008,0.0007,-0.0008
Candidatus.Moranbacteria,0.0015,-0.0013,-0.0021,-0.0008,0.0014,-0.001,-0.0015,-0.0062,-0.0026,-0.0016,0.0003,-0.0014,-0.0005,-0.0027,-0.0038,0.0017,-0.0026,0.0026,0.0019,-0.0032,-0.004,-0.0035,-0.0002,-0.0056,0.0022,-0.0029,-0.0035,0.0012,0.0009,-0.0022,0.0013,-0.0032,-0.0004,-0.0001,0.0015,-0.0004,0.0,-0.0023,0.0039,-0.0043,0.0009,0.0026,-0.0011,-0.0015,1.0,-0.0008,-0.0025,0.0029,-0.0003,0.0007,-0.0002,-0.0032,-0.001,-0.0016,-0.0032,-0.001,-0.0008,0.0004,-0.0016,-0.0003,-0.0045,0.0017,0.0019,-0.0025,-0.0001,-0.0037,-0.0066,0.0009,-0.0001,-0.0046,0.0024,-0.0018,-0.0005,-0.0047,-0.0011,-0.0054,-0.0017,-0.0006,0.0018,-0.0012,-0.0021,-0.0001,0.0024,0.0022,0.0026,0.0001,0.0012,-0.0008,-0.0038,-0.0004,-0.0012,-0.0029,-0.0015,0.0008,-0.0001,-0.0015,-0.0036,-0.0028,-0.0013
Candidatus.Nealsonbacteria,0.0004,-0.0027,-0.0034,0.0004,-0.0033,-0.0022,0.0002,-0.0034,-0.0012,0.0035,-0.0015,-0.0015,-0.0023,0.0019,-0.0014,-0.0032,-0.0045,0.0008,-0.002,-0.0019,-0.0022,-0.0022,-0.0024,-0.0027,-0.0023,-0.0014,-0.0006,0.0004,-0.0014,-0.0016,-0.0009,-0.0023,0.0015,-0.0024,0.0001,-0.0017,-0.0023,0.0009,0.0015,-0.0028,-0.0018,-0.0054,-0.0003,-0.0013,-0.0008,1.0,0.0005,-0.0015,-0.0009,0.0005,0.0021,-0.0002,0.0017,-0.0034,-0.0012,-0.0043,-0.0018,-0.0045,-0.0006,-0.0023,0.0008,-0.0003,-0.0012,0.0018,-0.0024,0.0021,-0.0033,-0.0016,0.0043,-0.0015,-0.0049,-0.0034,0.0025,-0.0002,0.0012,0.0011,-0.0026,-0.0035,0.0,-0.0012,-0.001,0.0024,0.0019,-0.0021,-0.0008,-0.0004,-0.0034,-0.0042,0.001,-0.0027,-0.0015,-0.0025,0.001,-0.0019,0.0004,0.0053,0.0001,-0.0033,-0.0024
Candidatus.Nomurabacteria,-0.001,-0.0045,0.0002,-0.0051,-0.0017,0.0021,0.0015,-0.0051,0.004,0.0029,0.0009,-0.0008,-0.0021,-0.0019,-0.0024,-0.0001,-0.0052,0.001,-0.0041,0.0016,0.0014,0.0014,-0.0004,-0.0008,-0.0029,-0.003,0.0056,-0.002,0.0003,0.0008,-0.0024,-0.0037,-0.0021,-0.0009,0.0019,-0.003,-0.0029,0.0018,0.0005,-0.0047,-0.0004,-0.0006,-0.0038,-0.0037,-0.0025,0.0005,1.0,-0.0021,-0.0003,-0.0048,-0.001,0.0011,-0.0023,0.001,-0.0031,-0.0021,0.0017,0.0016,-0.0016,-0.0016,-0.0017,-0.0009,-0.0004,0.0047,-0.0013,0.0024,-0.004,-0.0007,0.0011,0.0013,-0.0001,-0.0002,-0.0019,0.0008,0.0003,-0.0047,-0.0024,0.0017,-0.0019,-0.0033,-0.0015,0.0024,0.0025,0.0036,0.0003,-0.0003,-0.0006,-0.0004,-0.0013,0.0,0.0005,-0.0046,-0.0044,0.0014,-0.004,-0.0031,-0.0003,0.0006,-0.002
Candidatus.Omnitrophica,0.0002,0.0035,-0.0037,-0.0058,-0.0004,-0.0007,-0.0018,-0.0063,0.002,-0.0041,-0.0012,-0.0056,-0.0018,-0.0018,0.0018,0.0022,-0.0017,-0.0005,0.0021,-0.0,-0.0006,0.0014,-0.0037,-0.0066,-0.0008,-0.0005,-0.0018,0.0008,-0.0017,0.0017,-0.0013,-0.0049,-0.0027,-0.0016,-0.0017,0.0005,-0.0037,-0.0025,-0.002,-0.0008,0.0005,0.0025,-0.0,0.0029,0.0029,-0.0015,-0.0021,1.0,0.0004,0.0006,-0.0044,-0.0046,-0.0021,-0.0003,0.0007,-0.0001,0.0024,0.0003,0.0033,-0.0001,-0.0008,-0.0036,-0.0019,-0.001,-0.0002,-0.005,-0.0002,-0.0032,-0.0028,0.0026,-0.0022,-0.003,-0.0027,-0.001,-0.0029,-0.004,-0.0056,-0.0042,0.0011,0.0001,-0.0031,-0.0048,0.0011,-0.0035,0.0005,0.0008,0.0014,-0.001,0.0019,-0.0034,0.0004,-0.0021,0.0003,-0.0036,-0.0025,-0.0043,0.002,0.0025,-0.0021
Candidatus.Peregrinibacteria,-0.001,0.0005,0.0001,0.0003,0.0029,0.0001,-0.0018,-0.0029,-0.0037,-0.0049,-0.0025,0.0046,-0.0002,0.0006,0.0001,0.0022,0.0009,-0.001,0.0011,0.0001,0.0022,-0.0047,-0.0014,0.0017,-0.0043,-0.0015,-0.0016,0.0017,0.0024,-0.0015,0.002,-0.0042,-0.0049,-0.0028,-0.001,0.0041,-0.0011,-0.0051,-0.0041,0.0012,-0.0005,0.0004,-0.001,0.0015,-0.0003,-0.0009,-0.0003,0.0004,1.0,0.0007,-0.0004,0.0024,-0.0002,-0.0042,0.0007,-0.0054,-0.0018,-0.0005,0.0039,-0.0035,0.0012,-0.0032,-0.0043,-0.001,-0.0031,-0.0022,-0.0011,0.001,-0.0025,0.0021,-0.0023,-0.0022,-0.0033,0.0028,-0.0017,-0.0047,-0.0008,-0.001,-0.0018,0.0035,-0.0001,0.0005,-0.0026,0.0001,0.0007,0.0016,-0.0023,-0.0064,-0.0039,-0.0027,-0.0001,-0.0006,-0.0024,-0.0042,0.0023,0.0013,0.0009,-0.0008,-0.0037
Candidatus.Portnoybacteria,-0.0,0.0045,-0.0006,-0.0031,0.0044,0.001,-0.0022,0.0001,-0.0032,-0.002,-0.0051,0.0029,-0.0006,0.0015,0.0039,-0.0019,-0.0022,-0.0003,-0.001,-0.0018,-0.0039,0.0009,0.002,-0.005,-0.0032,-0.0045,0.0044,0.0031,0.0029,-0.004,0.0013,0.0008,-0.0028,-0.0049,-0.001,0.0002,-0.0051,-0.0033,-0.0014,-0.0036,0.0002,-0.0061,-0.0024,-0.0028,0.0007,0.0005,-0.0048,0.0006,0.0007,1.0,0.002,-0.0039,-0.0032,0.0,0.0011,0.0012,-0.002,-0.0007,-0.001,-0.0011,-0.0063,-0.0011,-0.0023,-0.0036,-0.0019,-0.0053,-0.001,0.0014,0.0007,0.0023,-0.0032,-0.0023,-0.0003,-0.0028,0.0002,0.001,-0.0013,-0.0024,0.0011,-0.0092,-0.0027,-0.0016,-0.0019,-0.0031,-0.003,-0.0009,-0.0017,0.0005,-0.0025,-0.0039,-0.0019,-0.0009,-0.0012,-0.0004,-0.0037,-0.0002,-0.0005,0.0014,-0.0021
Candidatus.Ratteibacteria,-0.0008,0.0009,-0.0035,0.002,-0.0032,-0.0059,0.0042,-0.0011,0.0031,-0.0026,-0.001,0.0017,0.0016,-0.0006,0.0021,0.0001,0.0011,-0.0016,0.0038,-0.0011,-0.001,0.0008,0.0034,0.0005,-0.0034,-0.004,-0.0038,-0.0054,0.0001,0.0022,0.0009,-0.0048,-0.0036,-0.0011,-0.0012,0.0001,-0.0011,-0.001,-0.0016,-0.0011,0.0006,-0.0022,0.0014,-0.0026,-0.0002,0.0021,-0.001,-0.0044,-0.0004,0.002,1.0,-0.0043,-0.0019,-0.002,-0.0004,0.0042,0.0029,-0.0025,-0.0004,0.0003,-0.0044,0.0009,0.0013,-0.0027,-0.0044,-0.0004,-0.0018,-0.0045,-0.002,-0.0016,-0.0024,0.0035,-0.0027,0.0004,-0.0007,-0.0006,-0.004,-0.0042,0.0011,-0.003,-0.0026,-0.0048,-0.0002,0.0025,-0.0019,-0.0012,-0.0012,0.001,-0.0038,-0.002,-0.0029,-0.0047,-0.0022,-0.0055,0.0019,0.0017,0.0001,-0.0042,0.001
Candidatus.Roizmanbacteria,-0.0045,0.0031,-0.0006,0.0002,-0.0013,-0.0016,0.0016,-0.0063,-0.0014,-0.0028,-0.0019,0.0006,-0.0006,-0.0003,-0.0023,0.0031,-0.0004,-0.0008,-0.0013,-0.0013,0.004,0.0006,-0.0048,-0.0024,0.0021,-0.0019,-0.0002,-0.0007,0.0023,-0.0026,-0.0016,-0.0019,0.0014,-0.0025,0.0013,-0.0034,-0.0021,-0.003,-0.0035,-0.0027,0.003,-0.0,0.0031,0.0021,-0.0032,-0.0002,0.0011,-0.0046,0.0024,-0.0039,-0.0043,1.0,-0.0026,-0.0025,-0.0023,0.0011,0.0065,0.0008,0.0019,0.0001,-0.0005,-0.0008,-0.0008,-0.0017,-0.0014,0.0037,0.0009,0.002,-0.002,-0.0035,-0.0007,0.0001,-0.0026,-0.002,0.0004,-0.0027,0.0005,0.0014,-0.0075,0.0005,-0.0013,-0.0034,-0.0014,-0.0037,-0.0013,-0.0026,-0.0024,-0.0014,0.0017,-0.0021,0.0016,-0.0002,-0.0028,0.0032,-0.006,0.0021,-0.0053,-0.0004,0.0035
Candidatus.Rokubacteria,-0.0036,0.0003,-0.0024,-0.0008,-0.0036,-0.0001,-0.0021,-0.0053,-0.0024,-0.0015,-0.0021,0.0002,-0.0015,-0.0012,-0.0002,0.0008,0.0005,0.0017,-0.003,0.0027,0.0017,-0.0027,0.0014,-0.0067,-0.0009,-0.0005,-0.0021,-0.0044,0.0029,0.0013,-0.0031,0.0004,-0.0029,0.0004,0.001,-0.0024,-0.0061,0.0024,0.0014,-0.0024,-0.0018,-0.002,-0.0019,-0.0084,-0.001,0.0017,-0.0023,-0.0021,-0.0002,-0.0032,-0.0019,-0.0026,1.0,-0.0013,-0.0005,-0.0065,-0.0046,-0.0004,0.0003,-0.0025,0.0007,-0.0011,0.0009,-0.0033,-0.0026,-0.0017,0.0004,-0.0001,0.0039,-0.0008,-0.0039,0.002,0.0046,-0.0055,-0.0036,-0.0009,-0.0047,-0.005,-0.0006,0.0004,0.0009,-0.0029,0.0019,0.0013,0.0007,0.003,-0.0004,0.0016,0.0009,0.0018,-0.0028,-0.0025,-0.004,-0.0016,-0.0021,-0.002,-0.0003,-0.001,-0.0008
Candidatus.Ryanbacteria,0.0008,0.0008,0.0001,-0.001,-0.0018,-0.0005,-0.0036,-0.0009,0.0029,0.0024,0.0035,-0.0059,0.002,0.0026,-0.0024,-0.0002,-0.0016,-0.0003,-0.0008,0.0015,-0.0042,-0.0019,-0.003,-0.002,-0.0017,-0.0028,-0.0022,-0.0043,-0.0036,0.0012,-0.0008,0.0023,-0.0045,0.0001,-0.0017,0.0006,-0.0001,-0.0003,-0.0062,-0.0026,-0.0037,0.0004,0.0009,0.0001,-0.0016,-0.0034,0.001,-0.0003,-0.0042,0.0,-0.002,-0.0025,-0.0013,1.0,0.0016,-0.0022,-0.0022,-0.0065,-0.0025,-0.0001,0.0011,-0.0007,0.0034,-0.0024,0.0004,-0.0005,-0.001,-0.0037,-0.0003,0.0041,0.0025,-0.0008,-0.0024,0.0005,-0.0035,-0.0039,0.0004,0.0004,0.0034,-0.0027,-0.0024,0.0,-0.0017,-0.0014,-0.0021,-0.0064,-0.0073,0.0005,0.0003,-0.0035,-0.0037,-0.0054,-0.0008,-0.0052,0.0015,0.0004,0.0014,-0.0033,-0.0019
Candidatus.Saccharibacteria,-0.0029,-0.0016,-0.0012,0.0006,-0.0028,-0.0054,-0.0027,-0.0015,-0.0017,-0.0049,0.0021,-0.0033,-0.0006,0.0027,0.0015,-0.0001,-0.0025,-0.003,0.0006,-0.0006,-0.0007,-0.0041,-0.0057,-0.0007,-0.0024,0.0022,-0.0011,0.0003,-0.0001,-0.0042,-0.0019,-0.0021,0.001,-0.0018,-0.0012,-0.0038,0.0,-0.0045,-0.0014,0.0011,0.0015,0.0014,0.0001,0.0012,-0.0032,-0.0012,-0.0031,0.0007,0.0007,0.0011,-0.0004,-0.0023,-0.0005,0.0016,1.0,-0.0049,-0.0023,0.0009,-0.0015,0.0023,0.0004,-0.0005,-0.0001,-0.0042,0.002,0.0018,-0.0039,-0.0029,0.002,0.0016,-0.0003,-0.0016,-0.003,0.0005,-0.0002,0.004,-0.0,-0.003,-0.0045,-0.0013,0.0044,-0.0024,0.0008,-0.0018,-0.0026,-0.0035,0.0012,-0.0053,0.001,-0.0035,0.0031,-0.0003,0.0035,-0.0032,-0.0016,-0.0007,-0.0016,-0.0051,-0.001
Candidatus.Schekmanbacteria,0.0028,0.0013,-0.0013,0.0001,-0.0001,-0.0021,-0.0031,-0.006,-0.0041,-0.0041,0.0043,-0.0005,0.0053,0.0008,-0.0011,0.0034,-0.0036,-0.0051,-0.0005,0.0014,0.0016,0.0007,-0.0014,0.0006,0.0002,-0.0054,-0.0,-0.0014,-0.008,-0.0009,-0.0029,0.0024,0.0004,0.0013,0.0006,0.0002,0.0027,-0.0017,-0.0042,0.0,0.0007,0.0011,-0.0034,-0.0056,-0.001,-0.0043,-0.0021,-0.0001,-0.0054,0.0012,0.0042,0.0011,-0.0065,-0.0022,-0.0049,1.0,-0.0017,0.0007,-0.0027,-0.0029,-0.0014,-0.0029,-0.0014,0.0013,-0.0064,0.0,-0.0043,-0.0009,0.0008,0.0028,0.0026,-0.0039,-0.0001,0.0012,-0.0026,-0.0012,-0.0048,-0.0002,0.0029,0.0024,-0.0007,0.0001,-0.0038,0.0019,-0.0016,-0.0026,0.0018,-0.0013,-0.001,-0.0019,-0.0026,-0.0031,0.0009,-0.0013,-0.0025,-0.0025,-0.0013,0.0011,0.0006
Candidatus.Staskawiczbacteria,-0.0028,-0.0007,0.0013,0.0005,-0.0001,-0.0031,0.0,-0.0006,0.0007,0.0034,-0.0021,-0.0055,0.0019,-0.0044,0.0016,0.0003,-0.0046,-0.0011,0.0007,-0.0004,-0.0058,-0.0032,0.0033,0.0015,0.0018,-0.0003,-0.0033,0.0024,-0.0001,-0.0088,0.0037,-0.0043,0.0012,-0.0041,0.0005,-0.0013,-0.0047,-0.0041,-0.0035,0.001,-0.0023,-0.0025,-0.0004,0.0001,-0.0008,-0.0018,0.0017,0.0024,-0.0018,-0.002,0.0029,0.0065,-0.0046,-0.0022,-0.0023,-0.0017,1.0,0.001,-0.0029,0.0015,0.0017,-0.0008,-0.0,-0.002,-0.0004,-0.0032,0.0009,0.0019,-0.0027,-0.0035,-0.0012,0.0001,-0.0012,0.0008,-0.0013,-0.0001,0.0002,-0.0008,0.0012,-0.006,-0.0071,0.0012,-0.0033,-0.0001,-0.0004,0.0008,0.0055,0.0025,-0.0046,-0.0054,-0.0046,0.0021,-0.0002,-0.0001,-0.0006,0.0007,-0.0029,0.002,-0.0025
Candidatus.Tectomicrobia,0.0019,0.005,-0.0006,0.0,-0.0011,0.001,-0.0006,-0.0003,-0.0027,-0.0007,-0.0002,-0.0009,-0.0024,0.0016,-0.0005,-0.0051,-0.0024,0.0028,0.0008,0.0002,-0.0029,0.0011,-0.0015,-0.0036,-0.004,-0.0041,0.0009,0.0034,-0.0036,-0.0055,-0.0029,0.0003,-0.0042,-0.0007,-0.0034,0.0013,-0.0004,-0.0005,-0.0013,0.0017,-0.0,-0.0046,-0.0022,-0.0037,0.0004,-0.0045,0.0016,0.0003,-0.0005,-0.0007,-0.0025,0.0008,-0.0004,-0.0065,0.0009,0.0007,0.001,1.0,0.0014,-0.0016,0.0011,-0.001,-0.0008,0.0008,0.0006,-0.0026,-0.0043,0.0017,-0.0011,0.0039,0.0031,-0.0029,0.0006,-0.0023,0.0003,0.0018,-0.0036,-0.0003,0.0019,-0.001,0.0024,-0.0004,-0.0039,0.0018,-0.0013,-0.0032,-0.0013,-0.005,-0.0004,-0.0025,-0.0001,-0.0033,0.0006,0.0014,-0.0056,-0.0028,-0.0039,-0.0002,-0.0028
Candidatus.Terrybacteria,-0.0022,-0.0005,0.001,-0.0003,0.0025,-0.0018,-0.0002,-0.0052,-0.0003,0.001,-0.0017,0.0019,0.0003,0.0022,-0.0049,0.0009,-0.0018,0.0012,0.0,0.0,-0.0055,-0.0022,-0.0024,-0.0035,-0.0037,0.0019,-0.0024,-0.0028,-0.0016,-0.0011,-0.0016,-0.0,-0.0007,-0.0017,-0.0026,-0.0008,-0.0002,-0.004,-0.0008,0.0017,-0.0046,-0.0057,-0.0002,-0.0025,-0.0016,-0.0006,-0.0016,0.0033,0.0039,-0.001,-0.0004,0.0019,0.0003,-0.0025,-0.0015,-0.0027,-0.0029,0.0014,1.0,-0.0027,-0.0018,-0.0075,-0.0002,0.0006,-0.0034,-0.002,-0.0018,-0.0019,-0.0013,-0.0034,0.0008,-0.0038,-0.0031,-0.0013,0.0,-0.0078,0.0005,-0.004,-0.0016,0.0007,0.0013,0.0022,0.0006,-0.001,0.0005,0.0018,-0.0008,-0.0014,-0.0008,-0.001,0.0,-0.0012,-0.0013,0.001,-0.0004,0.0008,-0.0038,0.0005,-0.0029
Candidatus.Thermoplasmatota,-0.0045,-0.0018,-0.0011,-0.0044,0.0004,-0.0007,0.0007,0.0006,-0.0026,-0.0007,-0.0036,-0.0048,0.0027,0.0,-0.0043,-0.0013,0.0021,-0.0024,-0.0046,-0.0008,-0.003,-0.0019,0.0022,0.0004,0.0022,0.0034,0.0001,0.0023,-0.0018,0.0047,-0.0033,0.0001,0.0035,-0.0007,0.0021,-0.0032,-0.0043,-0.002,0.0001,0.0021,-0.0009,-0.0036,0.0007,0.0025,-0.0003,-0.0023,-0.0016,-0.0001,-0.0035,-0.0011,0.0003,0.0001,-0.0025,-0.0001,0.0023,-0.0029,0.0015,-0.0016,-0.0027,1.0,-0.0021,-0.0028,-0.0026,0.0014,0.0006,0.0,-0.0036,-0.0018,-0.0026,-0.0023,0.0001,-0.0029,-0.0045,-0.0016,0.0024,-0.0023,-0.0,0.0047,-0.0002,-0.0014,-0.0008,-0.0029,-0.0013,-0.0,-0.0027,-0.0006,0.0005,-0.0008,-0.0018,-0.0018,-0.0038,0.0013,-0.0024,-0.0035,0.0003,-0.0019,0.0027,-0.0028,-0.0019
Candidatus.Uhrbacteria,-0.0023,-0.0027,-0.002,-0.0002,-0.0002,0.0,-0.0041,-0.0039,-0.0006,-0.0024,-0.0038,-0.0015,-0.0044,0.0008,0.0049,-0.0023,-0.0019,-0.0045,-0.0019,-0.0002,-0.0025,-0.0026,0.0032,0.001,-0.0,-0.0007,0.0055,-0.0051,-0.0031,-0.0014,-0.0004,0.0,-0.0047,0.0015,0.0031,-0.0025,-0.0009,-0.0027,-0.004,-0.0031,0.0019,-0.0016,0.0015,0.0005,-0.0045,0.0008,-0.0017,-0.0008,0.0012,-0.0063,-0.0044,-0.0005,0.0007,0.0011,0.0004,-0.0014,0.0017,0.0011,-0.0018,-0.0021,1.0,-0.0003,-0.0024,0.0001,-0.0021,0.0011,-0.0027,0.0016,-0.0026,-0.0001,0.0019,-0.005,0.0005,-0.0008,-0.0054,-0.0038,0.0013,-0.0057,0.0003,-0.0043,-0.0018,0.0013,-0.0015,-0.0007,0.0004,0.0028,-0.0003,0.0038,0.0026,-0.0051,-0.0025,-0.0007,0.0003,0.0002,-0.0016,-0.0004,0.0,-0.0007,-0.0029
Candidatus.Wallbacteria,-0.0001,0.0003,0.0006,-0.0008,-0.0047,0.0051,0.0013,-0.0053,-0.0022,-0.0004,-0.0007,-0.007,-0.0017,-0.0024,-0.0017,0.0016,-0.0035,-0.0009,-0.0006,0.0007,0.0001,0.0017,-0.0019,-0.0006,0.0014,0.0008,-0.0037,-0.0001,-0.0017,0.0004,0.0019,0.0002,-0.0024,-0.0011,0.0016,0.0001,0.0006,-0.0008,-0.0018,-0.004,-0.0015,0.0043,0.0006,-0.0027,0.0017,-0.0003,-0.0009,-0.0036,-0.0032,-0.0011,0.0009,-0.0008,-0.0011,-0.0007,-0.0005,-0.0029,-0.0008,-0.001,-0.0075,-0.0028,-0.0003,1.0,-0.0038,-0.0026,-0.0037,-0.002,-0.0043,0.0,0.0007,-0.0027,0.0016,-0.0002,0.0016,-0.0017,0.0031,-0.0029,-0.0023,0.0011,-0.001,0.0,-0.0037,-0.0037,-0.0022,0.0017,-0.0023,-0.0043,-0.0009,0.0036,-0.002,0.0016,-0.006,0.0005,-0.0024,-0.0001,0.0009,0.0001,0.0025,-0.0041,0.0013
Candidatus.Wildermuthbacteria,-0.0013,-0.0042,0.0007,-0.0007,-0.0024,-0.0006,-0.003,-0.0016,-0.0019,-0.0012,0.0012,-0.0048,0.0043,-0.0049,-0.0015,-0.0066,-0.003,0.0018,-0.0035,-0.0028,-0.0001,0.0037,0.0012,-0.0022,0.0041,-0.0016,-0.0066,-0.0001,-0.0036,-0.0048,0.0033,-0.0001,-0.0014,-0.0028,0.0013,0.0012,-0.0012,0.0012,-0.0008,-0.0019,0.0035,-0.0037,-0.0009,-0.0001,0.0019,-0.0012,-0.0004,-0.0019,-0.0043,-0.0023,0.0013,-0.0008,0.0009,0.0034,-0.0001,-0.0014,-0.0,-0.0008,-0.0002,-0.0026,-0.0024,-0.0038,1.0,-0.0043,-0.0014,-0.0048,0.0022,-0.0017,-0.0018,-0.0032,-0.0029,-0.0015,0.0024,-0.0052,-0.0034,0.0029,-0.0008,-0.0011,0.0013,0.0014,-0.0013,-0.0038,0.0015,-0.003,-0.0022,-0.0014,-0.0026,0.0039,0.0012,0.0013,0.0001,-0.0005,0.0004,0.0027,-0.0018,0.0004,-0.0034,-0.002,0.0006
Candidatus.Woesebacteria,-0.0033,-0.0,-0.0001,0.0018,-0.0032,-0.0002,-0.0007,0.0021,-0.0028,-0.0026,0.0028,0.002,-0.0027,0.0007,-0.0001,-0.0057,-0.002,0.0004,-0.0058,0.0004,-0.0033,-0.0002,-0.0011,0.0006,-0.002,0.0006,-0.0003,-0.0019,-0.0019,-0.0011,0.0013,-0.0008,0.0001,-0.0027,0.0007,-0.0013,-0.0023,-0.0012,-0.0001,-0.0041,-0.0044,-0.0007,-0.0022,0.0027,-0.0025,0.0018,0.0047,-0.001,-0.001,-0.0036,-0.0027,-0.0017,-0.0033,-0.0024,-0.0042,0.0013,-0.002,0.0008,0.0006,0.0014,0.0001,-0.0026,-0.0043,1.0,-0.001,-0.0071,0.0035,-0.0036,0.0045,-0.0011,0.0011,0.0011,0.0007,0.0029,-0.0008,-0.0006,-0.0033,-0.0014,-0.0002,0.0003,-0.0024,-0.0008,-0.0082,-0.0026,0.0028,-0.0011,0.002,-0.0043,-0.0021,-0.0009,-0.0038,-0.0018,-0.0003,-0.0005,-0.0009,0.0023,-0.0024,-0.0019,-0.0019
